건강한 사람들의 RRIs에 대한 MDE 평균값(index=scale).
	0
1	4.497692635131531
2	4.499053490843599
3	4.414196844378938
4	4.356631792622259
5	4.313825220487294
6	4.246285002803168
7	4.16019456276847
8	4.124955178455636
9	4.075437728522323
10	3.9781600242397497
11	3.911705082756689
12	3.896317715174328
13	3.80758170934224
14	3.7736900511614513
15	3.732377850551242
16	3.6770955908262724
17	3.5982173161810826
18	3.567829889894534
19	3.539811151017585
20	3.483882972986993
21	3.445947995558004
22	3.423914982022758
23	3.3723811223494726
24	3.316893271835866
25	3.2903812166090707
