건강한 사람들의 RRIs에 대한 MFDE 평균값(index=scale).
	0
1	6.802576349806648
2	6.803667037311773
3	6.658435441786305
4	6.601201714179192
5	6.508183104390156
6	6.41728571637267
7	6.331964756875692
8	6.241903287032303
9	6.152587238407007
10	6.067403801343359
11	6.024029599542329
12	5.975568895940633
13	5.901542119012176
14	5.7897689721606485
15	5.797208704012859
16	5.7405452669816786
17	5.6744371422138284
18	5.6398821770739485
19	5.610148314912753
20	5.568139326035776
21	5.480128208445618
22	5.457319350679721
23	5.415697766723835
24	5.345461071089831
25	5.322057468034837
